year,place,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
2018,Oron,Oron,Akwa Ibom,9.94,263,0.843
2018,Oru,Ijebu North,Ogun,3.73,604,0.82
2018,Osenseni,Kogi,Kogi,2.75,212,0.972
2018,OSHOGBO,Osogbo,Osun,8.37,1815,0.752
2018,Osi,Ekiti,Kwara,8.61,1679,0.691
2018,Otuan,Southern Ijaw,Bayelsa,6.16,1193,0.545
2018,Otun,Moba,Ekiti,6.12,459,0.609
2018,Oturkpo,Oturkpo,Benue,5.66,1501,0.535
2018,Oviri,Okpe,Delta,9.61,232,0.763
2018,Owerri,Owerri-Municipal,Imo,9,413,0.694
2018,OWO,Owo,Ondo,7.42,1377,0.912
2018,OYO,Oyo East,Oyo,4.17,1214,0.815
2018,Pai,Wushishi,Niger,1.35,275,0.636
2018,Paiko,Paikoro,Niger,6.97,1969,0.717
2018,Pambeguwa,Kubau,Kaduna,1.28,192,0.521
2018,Pandam,Karu,Nasarawa,8.96,329,0.762
2018,Pandogari,Rafi,Niger,7.62,1515,0.947
2018,PANKSHIN,Pankshin,Plateau,8.83,1027,0.829
2018,Panyam,Mangu,Plateau,6.88,1581,0.565
2018,Papalanto,Ewekoro,Ogun,6.94,383,0.787
2018,Pari,Kajuru,Kaduna,9.71,711,0.617
2018,Pate,Abaji,Federal Capital Territory,9.39,1150,0.829
2018,Pategi,Pategi,Kwara,8.07,1072,0.986
2018,Pinau,Wase,Plateau,3.32,1687,0.586
2018,Pizhi,Lavun,Niger,6.98,1640,0.52
2018,PORT HARCOURT,Port-Harcourt,Rivers,9.85,1215,0.631
2018,POTISKUM,Potiskum,Yobe,2.27,830,0.62
2018,Pupanyunyu,Askira/Uba,Borno,5.15,531,0.615
2018,Putuk,Alkaleri,Bauchi,3.72,651,0.602
2018,Rafin Dinga,Ningi,Bauchi,8.04,574,0.54
2018,Rafin Tsaka,Arewa-Dandi,Kebbi,4.62,452,0.623
2018,Rahama,Lere,Kaduna,8.8,691,0.752
2018,RAKA,Gwadabawa,Sokoto,4.19,146,0.82
2018,Randeggi,Birnin-Gwari,Kaduna,5.2,506,0.699
2018,Rano,Rano,Kano,7.24,390,0.888
2018,Rauta,Bauchi,Bauchi,4.74,1100,0.916
2018,Rijau,Rijau,Niger,9.22,932,0.971
2018,RINGIM,Ringim,Jigawa,5.44,597,0.907
2018,Rinjim Mukur,Toro,Bauchi,6.78,1113,0.805
2018,Ruan Badu,Maradun,Zamfara,3.89,1629,0.777
2018,Rurum,Rano,Kano,7.28,410,0.77
2018,Rusu,Gusau,Zamfara,2.3,124,0.756
2018,Ruwan Doruwa,Bungudu,Zamfara,8.7,1481,0.807
2018,Ruwan Jema,Bukkuyum,Zamfara,8.52,718,0.907
2018,Sabon Birni,Igabi,Kaduna,5.3,1396,0.603
2018,Sabon Gari,Toro,Bauchi,5.57,140,0.595
2018,Sabon Gari,Darazo,Bauchi,8.35,233,0.957
2018,Sabon Gari,Koko/Besse,Kebbi,5.57,1621,0.89
2018,Sabon Gida,Borgu,Niger,9.2,1024,0.742
2018,Sade,Darazo,Bauchi,2.53,1699,0.611
2018,Saforogbon,Ese-Odo,Ondo,7.5,136,0.983
2018,Sainyinan Daji,Tambuwal,Sokoto,4.84,1761,0.764
2018,Sakaba,Sakaba,Kebbi,8.41,433,0.638
2018,Sakke,Wasagu/Danko,Kebbi,4.68,1354,0.51
2018,Sakwabe,Arewa-Dandi,Kebbi,3.08,294,0.813
2018,Salka,Magama,Niger,1.25,394,0.63
2018,Samamiya,Gwaram,Jigawa,2.29,665,0.845
2018,Samia,Bagudo,Kebbi,1.13,571,0.911
2018,Sanbi,Bagudo,Kebbi,8.45,1001,0.861
2018,Sansanne,Gassol,Taraba,6.66,1666,0.961
2018,Sanusi,Odeda,Ogun,4.01,679,0.843
2018,SAPELE,Sapele,Delta,9.47,1813,0.818
2018,SARKIN PAWA,Muya,Niger,1.06,1393,0.598
2018,Sauri,Tsafe,Zamfara,3.87,1831,0.53
2018,Sendirdi,Gassol,Taraba,1.42,1353,0.907
2018,Serti,Gashaka,Taraba,2.88,514,0.856
2018,Shagamu,Shagamu,Ogun,8.1,587,0.735
2018,SHAKI,Saki West,Oyo,8.31,990,0.883
2018,Shamaki,Ningi,Bauchi,1.65,743,0.527
2018,Shani,Shani,Borno,7.68,1804,0.528
2018,Shanono,Shanono,Kano,9.48,1319,0.596
2018,Share,Ifelodun,Kwara,8.71,1719,0.656
2018,Shemankar,Shendam,Plateau,6.47,435,0.958
2018,Shendam,Shendam,Plateau,3.13,1745,0.654
2018,Shika,Mokwa,Niger,5.14,1047,0.568
2018,Shinaka,Goronyo,Sokoto,6.75,707,0.598
2018,Shiwun,Obafemi-Owode,Ogun,9.78,655,0.716
2018,Shomulekiri,Kabba/Bunu,Kogi,8.09,804,0.612
2018,Shonga,Edu,Kwara,4.72,1051,0.537
2018,Siluko,Ovia South West,Edo,1.95,599,0.725
2018,Sitti,Sumaila,Kano,2.98,928,0.919
2018,Soba,Soba,Kaduna,4.23,690,0.638
2018,Sofo-Birnin-Gwari,Birnin-Gwari,Kaduna,1.85,1386,0.507
2018,Sogaga,Kubau,Kaduna,5.26,1514,0.889
2018,SOKOTO,Sokoto South,Sokoto,8.68,1790,0.79
2018,Song,Song,Adamawa,4.59,1249,0.797
2018,Sugu,Ganye,Adamawa,9.89,1039,0.935
2018,Sumaila,Sumaila,Kano,8.94,1109,0.811
2018,Suntai,Bali,Taraba,1.88,270,0.758
2018,Suru,Suru,Kebbi,8.13,464,0.565
2018,Suya,Baruten,Kwara,5.44,1871,0.946
2018,Swate,Borgu,Niger,3.08,585,0.735
2018,Tafawa Balewa,Tafawa-Balewa,Bauchi,6.11,1839,0.624
2018,Takai,Takai,Kano,6.37,1631,0.804
2018,Taki,Kabba/Bunu,Kogi,7.51,1759,0.74
2018,TAKUM,Takum,Taraba,2.28,274,0.559
2018,Takura,Kwali,Federal Capital Territory,2.35,1944,0.79
2018,Takuti,Lapai,Niger,6.99,1352,0.907
2018,Talata Mafara,Talata Mafara,Zamfara,7.29,1324,0.925
2018,Tando,Abaji,Federal Capital Territory,4.12,1969,0.747
2018,Tapa,Ibarapa North,Oyo,2.77,1069,0.636
2018,Tapkin Fuss,Gudu,Sokoto,6.07,1986,0.667
2018,Taramal,Alkaleri,Bauchi,9.89,1247,0.887
2018,Tegina,Rafi,Niger,6.79,814,0.574
2018,Tepe,Fufore,Adamawa,4.33,302,0.728
2018,Tilli,Bunza,Kebbi,7.91,1112,0.64
2018,Tongo,Funakaye,Gombe,3.51,214,0.648
2018,Tor Donga,Katsina-Ala,Benue,9.66,956,0.606
2018,Toto,Toto,Nasarawa,5.3,1681,0.78
2018,Toungo,Toungo,Adamawa,4.67,1080,0.961
2018,Tsamiya,Tureta,Sokoto,8.79,1998,0.91
2018,Tsanni,Batagarawa,Katsina,5.14,988,0.822
2018,Tswafu,Mashegu,Niger,4.19,149,0.912
2018,Tudun Quardo,Chikun,Kaduna,1.13,979,0.706
2018,Tudun Wada,Tudun Wada,Kano,4.85,462,0.82
2018,Tukudawa,Isa,Sokoto,3.45,632,0.922
2018,Tundun Sakwa,Chikun,Kaduna,9.46,1032,0.955
2018,Tunga Laila,Shanga,Kebbi,5.43,1605,0.755
2018,Tungan Gimba,Lafia,Nasarawa,9.8,109,0.841
2018,Udubo,Gamawa,Bauchi,1.91,215,0.83
2018,Ugbenu,Ethiope West,Delta,7.58,832,0.733
2018,Ugep,Yakurr,Cross River,2.5,322,0.964
2018,Ugumji,Ganjuwa,Bauchi,5.01,1090,0.99
2018,Uke,Karu,Nasarawa,1.21,115,0.599
2018,Ukehe,Igbo-Etiti,Enugu,8.34,559,0.861
2018,Ulmiri,Yusufari,Yobe,4.54,1363,0.554
2018,Umuahia,Umuahia North,Abia,5.96,582,0.636
2018,Umunede,Ika North East,Delta,6.59,1261,0.661
2018,Ungwan Zakara,Birnin-Gwari,Kaduna,6.16,187,0.672
2018,Ungwar Amere,Jema'a,Kaduna,2.27,1706,0.722
2018,Unkwoi,Mariga,Niger,7.92,1066,0.747
2018,UROMI,Esan North East,Edo,4.56,518,0.909
2018,Uvbe,Uhunmwonde,Edo,3.91,786,0.987
2018,Uyanga Okpo Usun,Akamkpa,Cross River,4.03,657,0.678
2018,Uyo,Uyo,Akwa Ibom,3.18,815,0.691
2018,Uzawo,Mariga,Niger,6.92,1851,0.767
2018,Wamdewo,Askira/Uba,Borno,8.62,1657,0.956
2018,Wamuri,Konduga,Borno,3.17,1795,0.855
2018,Warari,Rijau,Niger,2.32,677,0.632
2018,WARRI,Warri South,Delta,6.72,1582,0.529
2018,Waru,Abuja Municipal,Federal Capital Territory,4.25,487,0.549
2018,Wasagu,Wasagu/Danko,Kebbi,9.41,276,0.862
2018,WAWA,Borgu,Niger,2.27,183,0.729
2018,Waya,Kwande,Benue,2.16,1782,0.999
2018,Worumokato,Kaiama,Kwara,4.66,331,0.716
2018,Wudil,Wudil,Kano,2.43,1983,0.877
2018,WUKARI,Wukari,Taraba,1.15,1956,0.709
2018,Wurianka,Shelleng,Adamawa,2.24,127,0.85
2018,Wurio,Gassol,Taraba,9.02,150,0.749
2018,Wurno,Wurno,Sokoto,3.3,219,0.895
2018,Wuro Yolde,Fufore,Adamawa,5.34,1534,0.509
2018,WUYA,Mokwa,Niger,4.42,1804,0.591
2018,Wuyo,Bayo,Borno,5.04,1042,0.694
2018,Yajiwa,Konduga,Borno,1.51,1707,0.906
2018,Yako,Kiru,Kano,8.86,1840,0.917
2018,Yalowo,Idanre,Ondo,7.29,1375,0.71
2018,Yan Tumaki,Dan Musa,Katsina,5.23,493,0.586
2018,Yango,Talata Mafara,Zamfara,7.99,1098,0.744
2018,Yashikera,Baruten,Kwara,8.91,483,0.852
2018,Yasku,Magumeri,Borno,3.34,396,0.871
2018,Yekami,Ife South,Osun,4.14,759,0.798
2018,Yenagoa,Yenegoa,Bayelsa,7.38,1612,0.912
2018,Yola,Yola North,Adamawa,6.39,1481,0.813
2018,Yusufari,Yusufari,Yobe,4.56,1985,0.711
2018,Zaki Biam,Ukum,Benue,8.25,1256,0.68
2018,Zari,Mobbar,Borno,5.58,1305,0.928
2018,ZARIA,Zaria,Kaduna,1.32,981,0.867
2018,Zeddi,Jakusko,Yobe,2.8,1461,0.532
2018,Zenabi,Doguwa,Kano,7.82,1275,0.633
2018,Zhiru,Karim-Lamido,Taraba,5.94,231,0.707
2018,Zindiwa,Gamawa,Bauchi,2.56,1189,0.657
2018,Zogodo,Tarmua,Yobe,9.2,1676,0.619
2018,Zongon Daji,Adavi,Kogi,9.48,267,0.601
2018,Zugurma,Mashegu,Niger,8.51,386,0.556
2018,ZUNGERU,Wushishi,Niger,6.79,1005,0.762
2018,Zurak,Wase,Plateau,1.92,1068,0.908
2018,Zurmi,Zurmi,Zamfara,9.42,1898,0.831
2018,Zuru,Zuru,Kebbi,3.89,1643,0.845
2019,ABA,Aba South,Abia,7.53,1447,0.679
2019,Abakaliki,Ebonyi,Ebonyi,5.11,1136,0.914
2019,Abaragba,Ikom,Cross River,1.12,506,0.562
2019,ABEOKUTA,Abeokuta South,Ogun,4.89,179,0.81
2019,Abong,Kurmi,Taraba,7.19,1134,0.534
2019,ABUJA,Abuja Municipal,Federal Capital Territory,1.91,1108,0.615
2019,Addo,Iseyin,Oyo,1.02,403,0.945
2019,Adebka,Bukkuyum,Zamfara,3.53,432,0.863
2019,Ado,Ado-Odo/Ota,Ogun,7.12,1822,0.675
2019,Ado-Ekiti,Ado Ekiti,Ekiti,3.35,164,0.855
2019,Afikpo,Afikpo North,Ebonyi,9.41,1479,0.569
2019,Agam,Kajuru,Kaduna,5.86,902,0.545
2019,Agbado,Aiyekire (Gbonyin),Ekiti,6.17,1326,0.654
2019,Agbor,Ika South,Delta,3.74,266,0.613
2019,Ageri,Odeda,Ogun,1.42,1287,0.823
2019,Aggi,Ekeremor,Bayelsa,4.27,1715,0.717
2019,Agholopke,Okpe,Delta,9.07,908,0.586
2019,Ago Amadu,Saki East,Oyo,8.08,1661,0.94
2019,Ago-Owu,Aiyedade,Osun,4.59,1227,0.992
2019,Agunrege,Atigbo,Oyo,4.84,410,0.683
2019,Aiyetoro,Egbado North,Ogun,2.02,311,0.777
2019,Ajapa,Ese-Odo,Ondo,4.31,1218,0.681
2019,AJASSE IPO,Irepodun,Kwara,5.17,669,0.619
2019,Ajebo,Obafemi-Owode,Ogun,3.77,638,0.941
2019,Akerre,Wushishi,Niger,7.35,1867,0.676
2019,Akowe,Afijio,Oyo,7.96,1307,0.729
2019,Akungba,Akoko South West,Ondo,6.75,1008,0.839
2019,Akure,Akure South,Ondo,6.91,1197,0.855
2019,Akwana,Logo,Benue,7.39,794,0.627
2019,Akwanga,Akwanga,Nasarawa,5.59,1355,0.874
2019,Alagarno,Fune,Yobe,6.03,701,0.856
2019,Alakuka,Ijebu East,Ogun,3.3,1187,0.581
2019,Alawa,Shiroro,Niger,3.22,1216,0.786
2019,Alkalere,Alkaleri,Bauchi,5.99,534,0.81
2019,Alla Soka,Imeko-Afon,Ogun,4.1,239,0.672
2019,Amaku,Nasarawa,Nasarawa,3.49,1118,0.766
2019,Amper,Kanke,Plateau,5.02,254,0.504
2019,Andaha,Akwanga,Nasarawa,8.47,488,0.703
2019,Anderai,Maiyama,Kebbi,4.07,666,0.992
2019,Anka,Anka,Zamfara,8.4,811,0.515
2019,Ankpa,Ankpa,Kogi,9.27,117,0.503
2019,Apawa,Yorro,Taraba,6.57,1799,0.73
2019,Apoi,Southern Ijaw,Bayelsa,1.88,1469,0.892
2019,Araromi,Moro,Kwara,5.2,1916,1
2019,Arege,Abadam,Borno,1.01,500,0.763
2019,Argungu,Argungu,Kebbi,4.99,859,0.659
2019,ASABA,Oshimili South,Delta,7.33,369,0.674
2019,Askira,Askira/Uba,Borno,8.42,214,0.685
2019,Atijere,Ilaje,Ondo,8.08,215,0.991
2019,Atsuku,Kurmi,Taraba,8.96,1960,0.77
2019,Atuma,Giwa,Kaduna,1.18,1014,0.653
2019,Auchi,Etsako West,Edo,2.99,281,0.546
2019,Augi,Augie,Kebbi,6.9,1225,0.622
2019,Auna,Magama,Niger,5.05,216,0.698
2019,Auno,Konduga,Borno,3.64,434,0.972
2019,Awe,Awe,Nasarawa,5.44,798,0.594
2019,Awgu,Awgu,Enugu,9.56,1184,0.627
2019,Awja Awdaw,Egbado North,Ogun,6.48,1872,0.825
2019,Awka,Awka South,Anambra,5.51,737,0.621
2019,Ayale,Dekina,Kogi,5.42,1710,0.507
2019,Ayangba,Dekina,Kogi,3.58,1111,0.742
2019,Ayere,Ijumu,Kogi,2.61,1816,0.837
2019,Azare,Katagum,Bauchi,5.2,1987,0.831
2019,Babampa,Tsafe,Zamfara,7.79,867,0.698
2019,Babana,Borgu,Niger,1.14,1428,0.975
2019,Babura,Babura,Jigawa,4.44,167,0.666
2019,BADAGRI,Badagry,Lagos,9.62,1736,0.655
2019,Badir,Chibok,Borno,2.78,819,0.546
2019,Badu,Guzamala,Borno,6.53,861,0.708
2019,Baga,Kukawa,Borno,8.85,664,0.754
2019,Bagega,Anka,Zamfara,4.79,1447,0.717
2019,Bagizza,Arewa-Dandi,Kebbi,1.79,1427,0.56
2019,Bajida,Fakai,Kebbi,6.98,950,0.507
2019,Bakara,Nasarawa,Nasarawa,9.63,436,0.878
2019,Bakoreji,Alkaleri,Bauchi,7.86,1766,0.662
2019,Bakori,Bakori,Katsina,6.74,1447,0.665
2019,Bakundi,Bali,Taraba,3.61,1177,0.641
2019,BAMA,Bama,Borno,5.69,1483,0.688
2019,Bamgi,Gudu,Sokoto,2.76,348,0.734
2019,Bandegi,Gbako,Niger,3.89,1351,0.779
2019,Bani,Bagudo,Kebbi,5.59,137,0.722
2019,Bansara,Ogoja,Cross River,9.51,233,0.5
2019,Bara,Kirfi,Bauchi,9.75,241,0.541
2019,Barakin Ladi,Barikin Ladi,Plateau,1.57,1822,0.813
2019,Barasa,Fufore,Adamawa,7.21,729,0.674
2019,Baro,Agaie,Niger,10,1763,0.867
2019,Bashar,Wase,Plateau,1.42,1410,0.833
2019,BAUCHI,Bauchi,Bauchi,1.35,1974,0.937
2019,Baure,Baure,Katsina,2.68,1676,0.973
2019,Bear Town,Warri North,Delta,9.35,1441,0.582
2019,Bebeji,Bebeji,Kano,2.42,256,0.991
2019,Bele,Bagudo,Kebbi,8.49,1271,0.872
2019,Beli,Bali,Taraba,2.84,157,0.579
2019,Bena,Wasagu/Danko,Kebbi,2.52,1222,0.726
2019,Beni,Kirfi,Bauchi,9.4,1264,0.71
2019,Beni,Muya,Niger,7.46,734,0.59
2019,BENIN CITY,Oredo,Edo,6.21,1074,0.729
2019,Besse,Koko/Besse,Kebbi,7.32,978,0.798
2019,Bichi,Bichi,Kano,2.79,782,0.551
2019,Bida,Monguno,Borno,6.02,1177,0.64
2019,BIDA,Bida,Niger,2.21,1762,0.709
2019,Bilachi,Fufore,Adamawa,8.66,1890,0.705
2019,BIN YAURI,Ngaski,Kebbi,9.16,158,0.735
2019,Bingi,Bungudu,Zamfara,1.78,1083,0.946
2019,Birnin Bako,Sumaila,Kano,8.09,1344,0.725
2019,Birnin Gwari,Birnin-Gwari,Kaduna,4.15,471,0.801
2019,Birnin Kebbi,Birnin Kebbi,Kebbi,1.32,1194,0.628
2019,Birnin Kudu,Birni Kudu,Jigawa,4.27,1435,0.859
2019,Birnin Tudu,Gummi,Zamfara,8.34,472,0.954
2019,Birniwa,Biriniwa,Jigawa,9.26,1595,0.549
2019,Birri,Nafada,Gombe,1.25,1866,0.851
2019,Bissaula,Kurmi,Taraba,5.06,741,0.855
2019,BIU,Biu,Borno,7.75,673,0.743
2019,Biusare,Gulani,Yobe,5.91,535,0.742
2019,Bobi,Mariga,Niger,3.94,609,0.914
2019,Boju Ega,Oturkpo,Benue,7.29,1580,0.937
2019,Bokanj,Mokwa,Niger,5.22,1109,0.53
2019,Bokkos,Bokkos,Plateau,8.64,439,0.802
2019,Bopo,Apa,Benue,3.2,1553,0.605
2019,Bornu Kiji,Fune,Yobe,7.66,1136,0.68
2019,Budo-Ago,Itesiwaju,Oyo,7.75,1451,0.755
2019,Buga,Toto,Nasarawa,6.62,526,0.876
2019,Bui,Arewa-Dandi,Kebbi,5.91,442,0.587
2019,BUKURU,Jos South,Plateau,9.57,1110,0.512
2019,Bulabulin,Guzamala,Borno,8.38,1197,0.657
2019,Bulangu,Kafin Hausa,Jigawa,1.32,1356,0.847
2019,Bulkachuwa,Katagum,Bauchi,7.53,1414,0.621
2019,Bulofa,Agaie,Niger,2.48,633,0.662
2019,Buluk Buluk,Yunusari,Yobe,5.3,692,0.608
2019,Buma,Hawul,Borno,8.79,711,0.514
2019,Bundi,Gubio,Borno,5.4,347,0.773
2019,Bungudu,Bungudu,Zamfara,7.35,1192,0.637
2019,Buni,Gujba,Yobe,9.98,669,0.819
2019,Bunkari,Binji,Sokoto,7.54,536,0.522
2019,Buratai,Biu,Borno,6.16,502,0.707
2019,Burji,Doguwa,Kano,2.37,1251,0.756
2019,Buruku,Chikun,Kaduna,5.24,1818,0.92
2019,Burumburum,Tudun Wada,Kano,6.7,1329,0.584
2019,BURUTU,Burutu,Delta,1.03,792,0.798
2019,Buya,Bagudo,Kebbi,9.23,1582,0.585
2019,CALABAR,Calabar South,Cross River,1.49,1568,0.534
2019,Charati,Lavun,Niger,1.13,1865,0.72
2019,Cheranchi,Charanchi,Katsina,9.46,1321,0.752
2019,Chibok,Chibok,Borno,1.39,1788,0.543
2019,Chinade,Katagum,Bauchi,7.3,388,0.719
2019,Chinka,Ibi,Taraba,6.95,614,0.705
2019,Chirawa,Geidam,Yobe,6.38,1765,0.621
2019,Dababe,Toro,Bauchi,4.17,840,0.95
2019,Dabalam,Tarmua,Yobe,7.87,1363,0.587
2019,Dadiya,Balanga,Gombe,4.92,1659,0.847
2019,Dagere,Birnin Kebbi,Kebbi,6.78,1565,0.691
2019,Dakingari,Suru,Kebbi,9.62,1172,0.619
2019,Dalijam,Rabah,Sokoto,5.33,944,0.57
2019,Dalla Jorau,Potiskum,Yobe,7.17,393,0.767
2019,Dalwa West,Konduga,Borno,8.07,1498,0.545
2019,Damaga,Maradun,Zamfara,5.83,1197,0.662
2019,DAMATURU,Damaturu,Yobe,3.18,1542,0.747
2019,Dambam,Damban,Bauchi,1.91,539,0.557
2019,Dambarta,Dambatta,Kano,3.72,1149,0.754
2019,Damboa,Damboa,Borno,5.58,757,0.791
2019,Damola,Ijebu North,Ogun,9.19,998,0.789
2019,Damshin,Shendam,Plateau,8.76,470,0.857
2019,Dan Dume,Dandume,Katsina,4.62,728,0.993
2019,Dan Gulbi,Maru,Zamfara,3.02,1933,0.553
2019,Dangara,Kwali,Federal Capital Territory,1.48,1179,0.933
2019,Dange,Dange-Shuni,Sokoto,7.36,795,0.754
2019,Danja,Danja,Katsina,5,997,0.676
2019,Dapchi,Bursari,Yobe,6.12,298,0.614
2019,Daraga,Maru,Zamfara,7.11,1965,0.588
2019,Darana,Bagudo,Kebbi,9.76,846,0.811
2019,Darma Galadima,Illela,Sokoto,1.96,524,0.709
2019,Daudawa,Faskari,Katsina,2.88,1031,0.851
2019,DAURA,Fune,Yobe,3.41,949,0.738
2019,Daura,Daura,Katsina,4.76,882,0.624
2019,Deba Habe,Yamaltu/Deba,Gombe,1.8,1795,0.887
2019,Degema,Akuku Toru,Rivers,3.41,627,0.507
2019,Dekala Gwejim,Borgu,Niger,8.56,300,0.643
2019,Digimsa,Biriniwa,Jigawa,3.9,166,0.581
2019,Dikwa,Dikwa,Borno,7.18,356,0.563
2019,Dilla,Shomgom,Gombe,3.62,860,0.942
2019,Dipchari,Bama,Borno,6.57,252,0.946
2019,Dirindaji,Sakaba,Kebbi,2.76,1259,0.968
2019,Doili,Gubio,Borno,4.12,1520,0.682
2019,Dokan Tofa,Shendam,Plateau,7.92,643,0.505
2019,Doma,Doma,Nasarawa,1.55,788,0.613
2019,Dong,Demsa,Adamawa,1.25,1880,0.569
2019,Donga,Donga,Taraba,1.65,1048,0.573
2019,Doufoumbara,Zurmi,Zamfara,1.28,1761,0.758
2019,Doumbourou,Zurmi,Zamfara,2.32,120,0.901
2019,Duchin Magaji,Mashegu,Niger,3.11,1107,0.744
2019,Dudu,Mobbar,Borno,9.12,1156,0.836
2019,Dukku,Dukku,Gombe,5.48,832,0.527
2019,Duku,Rijau,Niger,6.14,401,0.924
2019,Dull,Tafawa-Balewa,Bauchi,7.87,643,0.812
2019,Dumaji,Edu,Kwara,1.58,501,0.679
2019,Dumburum,Tarmua,Yobe,8.76,1294,0.899
2019,Dunari,Malam Madori,Jigawa,8.93,1518,0.923
2019,Duni,Atakumosa East,Osun,8.99,521,0.905
2019,Dure Karguma,Gwoza,Borno,5.7,1718,0.67
2019,Duru,Dutse,Jigawa,9.75,697,0.501
2019,Dutsi,Dutsi,Katsina,3.31,1711,0.86
2019,Dutsin Ma,Dutsin-Ma,Katsina,6.06,469,0.904
2019,Eban,Mashegu,Niger,9.77,347,0.524
2019,EBUTE METTA,Lagos Mainland,Lagos,4.27,1241,0.65
2019,EDDE,Ede North,Osun,6.17,329,0.563
2019,Effon-Alaiye,Oriade,Osun,5.53,376,0.849
2019,Egbe,Yagba West,Kogi,8.04,755,0.883
2019,EHA-AMUFU,Isi-Uzo,Enugu,9.76,1599,0.808
2019,Ehor,Uhunmwonde,Edo,9.52,805,0.608
2019,Ejigbo,Ejigbo,Osun,9.43,202,0.827
2019,ENUGU,Enugu North,Enugu,9.68,1398,0.68
2019,ENUGU-EZIKE,Igbo-Eze North,Enugu,2.11,610,0.779
2019,Epe,Epe,Lagos,8.09,412,0.937
2019,Eruwa,Ibarapa East,Oyo,5.48,169,0.775
2019,Esabang,Obubra,Cross River,7.96,1903,0.628
2019,Fagan Kawo,Sule-Tankarkar,Jigawa,9.5,511,0.712
2019,Falali,Sumaila,Kano,1.73,1021,0.614
2019,Faskari,Faskari,Katsina,4.61,1950,0.531
2019,Fellagi,Mashegu,Niger,6.87,1632,0.618
2019,Fika,Fika,Yobe,7.28,1391,0.937
2019,Fokku,Kebbe,Sokoto,3.93,998,0.555
2019,Foniweitoro,Southern Ijaw,Bayelsa,3.27,470,0.819
2019,Forcados,Burutu,Delta,7.3,2000,0.716
2019,Frukama,Bomadi,Delta,1.89,1329,0.54
2019,Fuka,Muya,Niger,6.75,472,0.594
2019,FUNTUA,Funtua,Katsina,1.28,962,0.908
2019,Fuskam Mata,Bassa,Plateau,5.05,985,0.79
2019,Gabarin,Darazo,Bauchi,1.21,135,0.51
2019,Gada,Gada,Sokoto,2.07,1721,0.555
2019,Gadam,Kwami,Gombe,2.76,1771,0.672
2019,Gadau,Itas/Gadau,Bauchi,1.21,1986,0.896
2019,Gadna,Shiroro,Niger,7.47,1836,0.656
2019,Gafiya,Kaita,Katsina,6.71,1048,0.52
2019,Gajale,Bebeji,Kano,9.85,106,0.772
2019,Gajiram,Nganzai,Borno,2.93,669,0.897
2019,Galadi,Maigatari,Jigawa,7.64,1890,0.529
2019,Galadi,Shinkafi,Zamfara,9.94,1271,0.869
2019,Gamawa,Gamawa,Bauchi,5.61,612,0.739
2019,Gamu,Ganye,Adamawa,3.72,287,0.955
2019,Gana,Mokwa,Niger,1.66,279,0.82
2019,Ganegi,Edati,Niger,8.17,819,0.906
2019,Ganga,Chikun,Kaduna,1.17,899,0.944
2019,Gangara,Giwa,Kaduna,9.68,604,0.923
2019,Ganua,Tambuwal,Sokoto,5.36,726,0.675
2019,Garki,Garki,Jigawa,2.48,1427,0.73
2019,Garkida,Gombi,Adamawa,6.12,719,0.912
2019,Garko,Garko,Kano,5.23,1866,0.631
2019,Garun Gabbas,Malam Madori,Jigawa,8.44,1307,0.958
2019,Garun Kurama,Lere,Kaduna,2.01,311,0.859
2019,Garunguna,Karasuwa,Yobe,5.32,1469,0.747
2019,Gashagar,Mobbar,Borno,1.59,868,0.772
2019,Gashua,Bade,Yobe,8.23,1542,0.823
2019,Gaska,Fune,Yobe,6.57,205,0.919
2019,Gaya,Gaya,Kano,4.56,1418,0.678
2019,Gayar,Alkaleri,Bauchi,8.65,1238,0.788
2019,Gbaki,Mokwa,Niger,5.86,570,0.71
2019,Gberia,Kaiama,Kwara,8.4,1735,0.738
2019,GBOKO,Gboko,Benue,5.81,994,0.695
2019,Gbongan,Aiyedade,Osun,4.81,1178,0.797
2019,Geauri,Tsafe,Zamfara,8.3,342,0.547
2019,Geidam,Geidam,Yobe,8.06,610,0.579
2019,Gereng,Girei,Adamawa,3.98,1164,0.515
2019,Gerkawa,Mikang,Plateau,2.15,576,0.845
2019,Geza,Dandi,Kebbi,1.25,1019,0.664
2019,Gezawa,Gezawa,Kano,9.83,217,0.683
2019,Gidan Bahagu,Kachia,Kaduna,1.8,1815,0.74
2019,Gidan Makera,Illela,Sokoto,5.34,1196,0.812
2019,Gidan Rai,Doma,Nasarawa,2.97,689,0.561
2019,Gimi,Markafi,Kaduna,8.44,349,0.759
2019,Gindiri,Mangu,Plateau,1.23,1860,0.565
2019,Giro,Suru,Kebbi,5.03,1553,0.604
2019,Giro-Masa,Shanga,Kebbi,2.93,383,0.553
2019,Gitata,Karu,Nasarawa,4.23,1633,0.676
2019,Golbembal,Gassol,Taraba,1.13,1955,0.869
2019,GOMBE,Gombe,Gombe,7.22,614,0.864
2019,Goniri,Gujba,Yobe,9.21,939,0.609
2019,Gubber,Tarmua,Yobe,1.04,1841,0.572
2019,Gubi,Bauchi,Bauchi,8.67,276,0.627
2019,Gubugbu,Edu,Kwara,4.86,314,0.943
2019,Gudi,Akwanga,Nasarawa,6.77,1120,0.823
2019,Guga,Bakori,Katsina,6.92,1221,0.536
